Real time, Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Number of processes,Total entities,Received messages,Sent messages
19/04/2016 08:02:16,100848779,197692,842747,28,28,0,7,28,30,108,C:352 R:28 L:701 H:7 D:11 T:1 ,C:344 R:29 L:3351 T:7 D:62 H:1 Q:1 
19/04/2016 08:02:26,200843002,330393,3221210,31,31,0,7,31,33,176,C:197 L:6129 D:127 R:3 H:32 Q:19 B:3 T:27 ,C:329 R:10 L:9976 D:170 T:53 Q:25 B:1 
19/04/2016 08:02:36,300839123,350568,4127201,30,30,0,7,31,36,165,L:8161 C:260 H:34 D:157 Q:18 T:14 R:5 B:6 ,Q:15 L:9415 C:409 T:44 B:5 D:170 R:8 
19/04/2016 08:02:46,400839262,283125,3984224,28,28,0,7,29,36,150,C:153 L:8074 T:59 D:93 H:30 Q:8 B:6 R:4 ,L:8222 T:66 Q:27 D:97 H:27 C:287 B:9 
19/04/2016 08:02:56,500839442,305704,3965397,29,29,0,7,31,37,131,L:7945 D:64 H:29 T:85 C:363 B:7 Q:19 R:3 ,L:7495 Q:41 T:29 H:30 C:320 R:9 D:33 B:13 
19/04/2016 08:03:06,600860389,128787,1677464,9,1,6,6,27,38,21,L:3361 Q:6 C:332 T:47 H:25 R:8 B:17 D:17 ,L:2787 C:338 H:24 Q:7 T:13 D:29 B:9 R:8 
19/04/2016 08:03:16,700860789,51485,180969,11,0,6,6,29,38,22,L:247 T:3 Q:2 B:9 C:192 R:12 ,B:10 C:244 R:6 
19/04/2016 08:03:26,800860615,55604,125085,7,0,4,4,27,42,21,C:68 B:5 R:2 L:238 D:2 ,B:11 C:61 R:6 
19/04/2016 08:03:36,900860854,59633,121628,9,0,6,6,28,42,22,C:104 B:12 R:10 L:170 H:1 ,C:107 B:11 R:10 
19/04/2016 08:03:46,1000860778,71721,54818,9,0,6,6,27,42,23,B:13 C:40 R:5 L:68 ,C:64 B:11 R:1 
19/04/2016 08:03:56,1100861332,72271,76335,8,0,6,6,27,40,24,L:102 R:1 C:46 B:15 ,C:37 B:7 R:6 
19/04/2016 08:04:06,1200860965,173168,1547708,22,19,0,8,29,39,161,C:266 R:16 B:25 L:3356 T:29 Q:11 H:1 D:8 ,C:264 R:24 B:23 L:3546 H:8 Q:45 T:1 
19/04/2016 08:04:16,1300861051,298009,2157106,19,19,0,7,25,37,164,L:4656 D:19 C:151 T:57 Q:38 B:34 H:15 R:6 ,Q:88 B:26 L:4962 T:103 C:276 H:19 
19/04/2016 08:04:26,1400861203,369079,1976457,19,18,0,7,25,40,169,L:4270 T:52 Q:71 C:184 B:32 H:5 D:3 ,Q:92 L:4775 H:36 C:261 T:85 B:22 R:8 
19/04/2016 08:04:36,1500872389,418125,1840183,17,12,2,7,20,39,190,L:4186 C:159 R:9 D:9 B:25 T:96 H:12 Q:72 ,C:267 L:4339 H:38 B:36 Q:108 T:106 D:18 R:9 
19/04/2016 08:04:46,1600872443,430141,1756222,18,15,1,6,23,39,163,L:4294 C:161 T:51 Q:60 B:28 D:25 R:8 H:20 ,B:26 L:2843 Q:89 C:176 R:8 H:8 T:44 D:19 
19/04/2016 08:04:56,1700872528,394634,1675774,15,13,0,4,24,37,135,L:4104 D:13 T:79 Q:60 B:26 C:123 H:12 ,L:2032 Q:73 C:111 D:2 B:22 T:27 R:7 
19/04/2016 08:05:06,1800872672,216293,759880,10,1,4,4,26,38,50,L:1823 C:107 H:58 B:23 Q:23 T:25 R:6 ,L:798 C:90 R:10 B:17 Q:13 T:6 H:12 D:15 
19/04/2016 08:05:16,1900872854,134490,97816,8,0,4,4,28,39,52,L:200 H:8 B:15 C:59 R:5 T:12 Q:5 ,C:44 B:11 L:4 R:1 
19/04/2016 08:05:26,2000872901,144290,62470,11,0,6,6,31,39,52,L:45 C:96 B:11 R:5 ,C:56 B:7 R:9 
19/04/2016 08:05:36,2100872983,142899,64260,11,0,6,6,32,36,53,C:93 B:12 R:7 L:6 ,B:15 C:68 R:8 
19/04/2016 08:05:46,2200873145,150245,68034,12,0,6,6,29,33,54,L:55 C:75 R:8 B:16 ,B:17 C:78 R:4 
19/04/2016 08:05:56,2300873585,159630,78006,12,0,6,6,28,33,53,R:5 C:92 B:18 L:43 ,C:61 R:9 B:13 
19/04/2016 08:06:06,2400873685,268683,989118,19,11,3,8,30,33,145,C:233 B:32 R:12 L:1983 Q:26 H:8 T:30 ,B:28 C:165 R:18 L:1604 Q:47 D:18 T:7 H:1 
19/04/2016 08:06:16,2500873903,396469,1463814,16,13,0,5,25,34,155,L:3429 C:106 T:46 B:39 H:8 Q:50 D:9 R:4 ,L:2611 H:13 Q:81 C:147 B:26 T:45 R:1 D:2 
19/04/2016 08:06:26,2600873924,386994,1473209,17,13,1,6,26,33,146,L:3314 R:7 B:30 H:12 Q:82 C:153 D:8 T:18 ,L:2781 Q:76 C:139 D:15 B:25 T:8 H:2 R:10 
19/04/2016 08:06:36,2700874012,352557,1488484,18,13,2,7,26,33,136,L:3314 C:150 R:7 D:15 Q:99 B:31 T:18 H:9 ,L:1863 C:145 R:11 D:10 Q:54 B:26 T:7 H:1 
19/04/2016 08:06:46,2800874321,353423,1426538,16,14,1,6,24,36,124,L:3254 Q:73 C:89 B:37 D:12 H:8 T:18 R:2 ,L:1864 D:14 C:126 B:32 Q:23 T:5 H:5 
19/04/2016 08:06:56,2900874394,331240,1321069,18,12,1,6,27,37,112,L:3110 C:170 T:21 Q:102 B:31 H:9 R:4 D:9 ,C:116 L:1799 Q:43 H:6 B:28 T:38 D:7 R:13 
19/04/2016 08:07:06,3000875050,218502,533462,11,0,5,5,28,40,58,L:1157 D:6 C:117 Q:25 R:12 T:8 B:27 H:5 ,L:840 Q:11 C:120 B:25 R:12 H:14 D:10 
19/04/2016 08:07:16,3100874578,170190,71346,11,0,5,5,28,39,59,L:72 C:71 B:14 R:10 ,C:77 R:5 B:12 
19/04/2016 08:07:26,3200874978,215852,45911,9,0,5,5,26,37,59,C:56 L:34 B:9 H:1 R:2 ,C:28 B:11 R:7 
19/04/2016 08:07:36,3300875042,219307,29552,6,0,4,4,24,36,60,B:6 C:38 R:4 L:6 ,C:30 B:13 R:5 
19/04/2016 08:07:46,3400875332,245379,33213,8,0,4,4,25,34,62,C:47 R:5 B:5 ,C:34 R:4 B:18 
19/04/2016 08:07:56,3500875150,243365,35553,9,0,5,5,23,32,64,C:57 R:4 B:6 ,C:32 R:8 B:14 
19/04/2016 08:08:06,3600875123,332030,817039,18,8,3,8,28,32,138,C:233 B:34 R:14 L:1696 T:16 H:7 Q:9 D:6 ,B:46 C:191 R:26 L:2263 H:2 T:7 Q:18 D:9 
19/04/2016 08:08:16,3700875424,381970,1103011,11,9,2,6,21,34,145,L:2686 D:16 C:101 B:58 Q:6 T:49 H:5 R:4 ,L:3212 T:40 B:64 Q:15 C:129 D:11 R:1 H:6 
19/04/2016 08:08:26,3800875468,397825,1175012,17,7,2,7,27,36,143,L:2481 C:248 R:9 B:54 H:9 T:43 Q:50 D:17 ,L:3787 C:196 D:14 B:71 R:24 H:8 T:59 Q:33 
19/04/2016 08:08:36,3900875814,402004,1164483,18,9,3,7,25,35,126,L:2493 C:202 D:13 T:45 B:56 Q:67 H:13 R:4 ,L:3375 C:141 R:19 Q:33 H:4 B:60 T:23 D:5 
19/04/2016 08:08:46,4000875601,357698,1026753,12,11,1,6,18,35,124,L:2306 H:7 T:42 C:110 B:56 Q:16 D:12 R:2 ,L:3430 T:25 B:71 C:127 D:3 Q:15 R:3 H:1 
19/04/2016 08:08:56,4100875661,346073,985893,15,9,2,6,21,35,105,L:2205 C:181 Q:26 R:6 B:55 D:8 T:17 H:7 ,L:3240 B:70 C:140 T:11 Q:7 R:13 H:2 
19/04/2016 08:09:06,4200875813,224975,463749,19,0,7,7,31,37,63,C:214 L:759 D:6 Q:31 B:44 T:11 R:18 H:6 ,L:999 C:193 Q:3 B:48 R:21 T:11 H:7 D:3 
19/04/2016 08:09:16,4300876431,182442,139552,12,0,6,6,26,37,66,L:158 Q:11 B:35 C:55 R:8 D:3 T:8 H:2 ,L:11 B:31 C:99 R:3 
19/04/2016 08:09:26,4400875940,239074,158891,13,0,7,7,28,37,66,L:192 Q:3 H:5 C:89 B:20 D:1 R:8 T:1 ,L:3 B:23 C:85 R:10 
19/04/2016 08:09:36,4500876112,251204,103814,17,0,6,6,31,39,69,L:34 R:14 B:25 C:117 ,B:26 C:146 R:14 
19/04/2016 08:09:46,4600876146,267866,83915,16,0,6,6,31,39,71,C:58 R:10 B:43 L:54 D:3 ,C:121 R:5 B:10 
19/04/2016 08:09:56,4700876276,276901,81045,17,0,5,5,32,38,73,C:89 R:12 B:40 L:11 ,B:13 C:131 R:13 
19/04/2016 08:10:06,4800876267,362509,537418,18,6,3,7,31,38,188,B:43 C:182 R:15 L:947 T:37 Q:12 D:4 H:1 ,C:182 B:51 R:16 L:1578 H:5 Q:115 T:55 
19/04/2016 08:10:16,4900876358,512440,927903,11,5,3,7,23,38,177,L:2079 B:57 C:87 Q:73 D:9 H:3 T:12 R:2 ,L:2265 Q:103 C:95 B:73 T:44 D:6 H:2 
19/04/2016 08:10:26,5000876423,574551,1043678,17,6,3,7,33,37,185,L:2329 D:8 C:186 Q:57 T:21 B:69 R:12 H:8 ,L:3529 Q:67 B:79 D:8 T:36 C:196 R:16 H:21 
19/04/2016 08:10:36,5100876619,609965,933111,18,5,4,7,31,37,166,L:2031 B:82 C:153 Q:9 H:4 R:10 D:6 T:5 ,L:3196 C:192 B:84 Q:71 H:11 D:7 T:8 R:11 
19/04/2016 08:10:46,5200876872,576907,904412,22,6,3,6,33,34,159,H:5 L:2055 Q:5 B:78 C:129 D:1 T:13 R:10 ,T:5 L:2400 B:80 C:185 Q:55 H:10 R:7 
19/04/2016 08:10:56,5300876937,515823,883374,18,5,4,7,29,35,128,L:1951 C:184 B:99 T:27 H:11 Q:19 R:9 D:2 ,B:93 L:1857 H:20 C:191 Q:25 R:17 T:6 
19/04/2016 08:11:06,5400876941,318136,353746,11,0,6,6,27,38,76,L:679 B:77 C:109 H:17 R:11 T:11 D:4 ,L:484 C:141 B:68 H:14 Q:2 D:2 R:7 
19/04/2016 08:11:16,5500878055,306418,56410,10,0,6,6,27,38,77,B:46 C:61 R:3 ,C:61 B:45 R:2 
19/04/2016 08:11:26,5600877934,304694,77306,14,0,6,6,32,38,79,C:102 B:30 R:11 ,B:53 C:108 R:12 
19/04/2016 08:11:36,5700878615,358547,76292,13,0,5,5,30,36,82,C:74 B:43 R:5 ,B:62 C:83 R:9 
